target,filter,cluster,_RAJ2000,_DEJ2000,S/N,Teff,logg,gamma,Ks,RV,e_RV,logL
07372304-3836117,665,NGC2451a,114.346,-38.6033,56.26,4766,2.71,1.007,11.915,72.11,0.29,-1.27
07372417-3845589,665,NGC2451a,114.35071,-38.7664,81.59,4906,2.697,1.015,12.615,133.82,0.26,-1.57
07372428-3838226,665,NGC2451a,114.35117,-38.6396,71.41,4693,2.333,1.022,11.465,93.09,0.26,-1.09
07372452-3842349,665,NGC2451a,114.35217,-38.7097,82.49,4770,3.01,1.01,12.851,133.03,0.26,-1.65
07372474-3844072,665,NGC2451a,114.35308,-38.7353,119.65,5136,2.789,1.013,10.613,52.91,0.25,-0.71
07372527-3832597,665,NGC2451a,114.35529,-38.5499,85.8,3947,4.731,0.849,12.376,-16.48,0.27,-1.47
07372552-3832348,665,NGC2451a,114.35633,-38.543,0.42,5500,3,-999,12.638,531.07,25.02,-1.64
07372754-3835023,665,NGC2451a,114.36475,-38.584,54.93,4825,3.044,1.008,13.579,86.81,0.28,-1.94
07372879-3832574,665,NGC2451a,114.36996,-38.5493,84.5,4613,2.554,1.016,12.551,172.68,0.26,-1.54
07372972-3835373,665,NGC2451a,114.37383,-38.5937,98.76,4996,3.178,0.997,12.495,36.11,1.05,-1.5
07372992-3844213,665,NGC2451a,114.37467,-38.7392,15.3,3701,5.254,0.783,12.341,22.46,0.66,-1.52
07373166-3836154,665,NGC2451a,114.38192,-38.6043,68.56,4426,2.586,1.006,12.961,86.13,0.25,-1.73
07373233-3840117,665,NGC2451a,114.38471,-38.6699,56.86,4829,2.848,1.011,13.616,135.95,0.29,-1.95
07373279-3836017,665,NGC2451a,114.38663,-38.6005,51.03,4834,2.242,1.021,13.433,148.73,0.3,-1.89
07373282-3849053,665,NGC2451a,114.38675,-38.8181,21.61,4741,2.695,1.024,13.572,137.13,0.39,-1.96
07373343-3841507,665,NGC2451a,114.38929,-38.6974,66.12,4630,2.8,1.016,13.065,105.18,0.26,-1.75
07373348-3832526,665,NGC2451a,114.3895,-38.5479,44.84,5346,2.8,1.018,13.409,105.09,0.31,-1.86
07373407-3846132,665,NGC2451a,114.39196,-38.7703,39.22,4886,3.109,1.014,13.494,146.68,0.36,-1.94
07373802-3842364,665,NGC2451a,114.40842,-38.7101,59.19,4723,2.257,1.017,13.091,78.35,0.3,-1.78
07374193-3838413,665,NGC2451a,114.42471,-38.6448,73.91,4978,3.517,0.995,13.088,100.01,0.27,-1.73
07374552-3846116,665,NGC2451a,114.43967,-38.7699,76.79,4921,3.28,1.006,12.597,33.45,0.27,-1.52
07374692-3833209,665,NGC2451a,114.4455,-38.5558,65.3,4660,2.592,1.013,11.109,177.98,0.26,-0.95
07374703-3846368,665,NGC2451a,114.44596,-38.7769,65.45,5018,2.533,1.015,11.649,71.41,0.28,-1.14
07374709-3826089,665,NGC2451a,114.44621,-38.4358,79.11,4396,4.804,0.921,12.922,35.19,0.26,-1.67
07374771-3835171,665,NGC2451a,114.44879,-38.5881,41.82,3886,4.701,0.823,13.51,57.49,0.3,-1.97
07374853-3840569,665,NGC2451a,114.45221,-38.6825,69.95,4403,2.138,1.017,11.359,79.81,0.25,-1.07
07375005-3836495,665,NGC2451a,114.45854,-38.6138,101.67,4481,4.55,0.997,10.654,19.74,1.21,-0.71
07375058-3835138,665,NGC2451a,114.46075,-38.5872,31.46,4741,2.584,1.015,12.066,92.88,0.36,-1.32
07375123-3841293,665,NGC2451a,114.46346,-38.6915,61.12,4811,3.189,0.992,13.409,61.34,0.26,-1.86
07375150-3838234,665,NGC2451a,114.46458,-38.6398,80.27,4197,4.444,0.903,12.556,85.67,0.26,-1.56
07375169-3843326,665,NGC2451a,114.46537,-38.7257,98.41,5247,4.64,0.985,11.32,-15.6,0.25,-0.82
07375241-3849534,665,NGC2451a,114.46837,-38.8315,56.37,4800,3.059,1.015,12.176,111.46,0.28,-1.41
07375255-3837083,665,NGC2451a,114.46896,-38.619,75.74,4963,4.114,0.982,11.576,26.41,0.3,-0.98
07375564-3838448,665,NGC2451a,114.48183,-38.6458,69.7,5199,2.735,1.012,11.549,46.42,0.3,-1.08
07375577-3846154,665,NGC2451a,114.48238,-38.7709,81.68,4488,2.643,1.015,10.991,71.06,0.25,-0.92
07375705-3846096,665,NGC2451a,114.48771,-38.7693,113.26,5489,4.2,0.993,11.065,37.24,0.27,-0.69
07375897-3835489,665,NGC2451a,114.49571,-38.5969,80.68,4878,2.442,1.02,12.566,76.9,0.27,-1.53
07375930-3826175,665,NGC2451a,114.49708,-38.4382,90.75,4452,2.221,1.024,12.375,106.14,0.25,-1.49
07375990-3828127,665,NGC2451a,114.49958,-38.4702,48.26,4949,2.628,1.014,13.676,117.69,0.3,-1.97
07380043-3838553,665,NGC2451a,114.50179,-38.6487,56.09,4675,2.332,1.021,11.788,76.19,0.4,-1.22
07380297-3838157,665,NGC2451a,114.51238,-38.6377,77.55,4248,4.622,0.912,13.017,42.63,0.26,-1.71
07380352-3842386,665,NGC2451a,114.51467,-38.7107,53.56,4464,2.321,1.017,11.862,83.58,0.26,-1.26
07380563-3848040,665,NGC2451a,114.52346,-38.8011,71.02,4793,3.037,0.999,12.695,59.63,0.27,-1.57
07380987-3839251,665,NGC2451a,114.54112,-38.657,62.76,5075,2.931,1.005,11.804,45.71,0.29,-1.16
