Name,Cluster,Source,LitPeriod,TIC,GaiaDR2,SimbadName
N2547-2-3-3018,NGC 2547,irwin2008,2.405,238616614,5514362353048890240,[IHA2008] N2547-2-3-3018
N2547-2-3-3544,NGC 2547,irwin2008,0.272,238616573,5514362357349925248,[IHA2008] N2547-2-3-3544
N2547-2-3-3708,NGC 2547,irwin2008,1.699,238644503,5514361910673123840,[IHA2008] N2547-2-3-3708
N2547-2-3-4251,NGC 2547,irwin2008,1.619,238616483,5514362838386042368,[IHA2008] N2547-2-3-4251
N2547-2-3-4413,NGC 2547,irwin2008,6.469,238616476,5514362838386039936,[IHA2008] N2547-2-3-4413
N2547-2-3-4458,NGC 2547,irwin2008,4.41,238644572,5514362735306830848,[IHA2008] N2547-2-3-4458
N2547-2-3-4818,NGC 2547,irwin2008,2.217,238616447,5514365655884555392,[IHA2008] N2547-2-3-4818
N2547-2-3-5152,NGC 2547,irwin2008,6.798,238616416,5514366411798794752,[IHA2008] N2547-2-3-5152
N2547-2-3-5823,NGC 2547,irwin2008,0.551,238616344,5514366029542062336,[IHA2008] N2547-2-3-5823
N2547-2-3-5847,NGC 2547,irwin2008,0.981,238616349,5514366171280633856,[IHA2008] N2547-2-3-5847
N2547-2-3-5979,NGC 2547,irwin2008,1.555,238644685,5514365999481965568,[IHA2008] N2547-2-3-5979
N2547-2-3-6494,NGC 2547,irwin2008,0.624,238616282,5514366063900874752,[IHA2008] N2547-2-3-6494
N2547-2-3-6728,NGC 2547,irwin2008,0.609,238616263,5514366308719592704,[IHA2008] N2547-2-3-6728
N2547-2-3-7046,NGC 2547,irwin2008,1.457,238644789,5514372149875126144,[IHA2008] N2547-2-3-7046
N2547-2-4-646,NGC 2547,irwin2008,0.712,238596283,,[IHA2008] N2547-2-4-646
N2547-2-4-926,NGC 2547,irwin2008,1.34,238596317,5514363177682377344,[IHA2008] N2547-2-4-926
N2547-2-4-1153,NGC 2547,irwin2008,0.283,238596341,5514340637694042368,[IHA2008] N2547-2-4-1153
N2547-2-4-1224,NGC 2547,irwin2008,0.499,238596348,5514363383842195328,[IHA2008] N2547-2-4-1224
N2547-2-4-1819,NGC 2547,irwin2008,0.846,238596417,5514363486921410560,[IHA2008] N2547-2-4-1819
N2547-2-4-1915,NGC 2547,irwin2008,5.578,238596423,5514364212775723136,[IHA2008] N2547-2-4-1915
N2547-2-4-2490,NGC 2547,irwin2008,5.264,238596475,5514364315854935552,[IHA2008] N2547-2-4-2490
N2547-2-4-3215,NGC 2547,irwin2008,0.604,238596549,5514364723870890112,[IHA2008] N2547-2-4-3215
N2547-2-4-3744,NGC 2547,irwin2008,0.943,238616506,5514364861310955008,[IHA2008] N2547-2-4-3744
N2547-2-4-3786,NGC 2547,irwin2008,7.592,238596604,5514552465479898240,[IHA2008] N2547-2-4-3786
N2547-2-4-5219,NGC 2547,irwin2008,1.101,238616365,5514366648016391296,[IHA2008] N2547-2-4-5219
N2547-2-4-5239,NGC 2547,irwin2008,0.921,238596721,5514552710300185088,[IHA2008] N2547-2-4-5239
N2547-2-4-5376,NGC 2547,irwin2008,1.101,238596729,5514552882098853632,[IHA2008] N2547-2-4-5376
N2547-2-4-6242,NGC 2547,irwin2008,11.564,238596819,5514553878531244160,[IHA2008] N2547-2-4-6242
N2547-2-4-6292,NGC 2547,irwin2008,2.628,238596821,5514553775452076672,[IHA2008] N2547-2-4-6292
N2547-2-4-6806,NGC 2547,irwin2008,1.374,238596865,5514553255754054656,[IHA2008] N2547-2-4-6806
N2547-2-5-616,NGC 2547,irwin2008,0.624,238595612,5514320880843244416,[IHA2008] N2547-2-5-616
N2547-2-5-2313,NGC 2547,irwin2008,0.607,238595754,5514322942427804160,[IHA2008] N2547-2-5-2313
N2547-2-5-2554,NGC 2547,irwin2008,2.384,238595779,5514322839348631296,[IHA2008] N2547-2-5-2554
N2547-2-5-3383,NGC 2547,irwin2008,4.993,238595845,5514334663399974656,[IHA2008] N2547-2-5-3383
N2547-2-5-3430,NGC 2547,irwin2008,1.693,238595848,5514323290326719360,[IHA2008] N2547-2-5-3430
N2547-2-5-3706,NGC 2547,irwin2008,7.275,238617190,5514323187247488256,[IHA2008] N2547-2-5-3706
N2547-2-5-5346,NGC 2547,irwin2008,5.033,238596015,5514335522393565696,[IHA2008] N2547-2-5-5346
N2547-2-5-5488,NGC 2547,irwin2008,1.189,238617027,5514358749577486336,[IHA2008] N2547-2-5-5488
N2547-2-5-6156,NGC 2547,irwin2008,1.573,238596096,5514336308366644864,[IHA2008] N2547-2-5-6156
N2547-2-5-6375,NGC 2547,irwin2008,1.108,238596115,5514336480165371264,[IHA2008] N2547-2-5-6375
N2547-2-5-7229,NGC 2547,irwin2008,0.56,238596181,5514359883448845696,[IHA2008] N2547-2-5-7229
N2547-2-6-463,NGC 2547,irwin2008,5.263,238617507,5514341191750996608,[IHA2008] N2547-2-6-463
N2547-2-6-1606,NGC 2547,irwin2008,1.418,238617414,5514341565411204736,[IHA2008] N2547-2-6-1606
N2547-2-6-4198,NGC 2547,irwin2008,1.221,238617160,5514345860373552896,[IHA2008] N2547-2-6-4198
N2547-2-6-4226,NGC 2547,irwin2008,0.739,238617158,5514345967754802432,[IHA2008] N2547-2-6-4226
N2547-2-6-4699,NGC 2547,irwin2008,0.293,238617117,5514346002114532352,[IHA2008] N2547-2-6-4699
N2547-2-6-4989,NGC 2547,irwin2008,0.682,238617090,5514346891167657856,[IHA2008] N2547-2-6-4989
N2547-2-6-5100,NGC 2547,irwin2008,1.694,238617079,5514346792388520192,[IHA2008] N2547-2-6-5100
N2547-2-6-5807,NGC 2547,irwin2008,1.517,238617020,5514347032906681728,[IHA2008] N2547-2-6-5807
N2547-2-6-5964,NGC 2547,irwin2008,1.216,238643998,5514347788820872704,[IHA2008] N2547-2-6-5964
N2547-2-6-6905,NGC 2547,irwin2008,0.512,238644082,5514348098058500736,[IHA2008] N2547-2-6-6905
N2547-2-6-7029,NGC 2547,irwin2008,0.645,238644093,5514348162477981440,[IHA2008] N2547-2-6-7029
N2547-2-7-2985,NGC 2547,irwin2008,5.325,238668956,5514296627169047808,[IHA2008] N2547-2-7-2985
N2547-2-7-4193,NGC 2547,irwin2008,0.631,0,,[IHA2008] N2547-2-7-4193
N2547-2-7-4661,NGC 2547,irwin2008,0.621,238643875,5514343901868484992,[IHA2008] N2547-2-7-4661
N2547-2-7-6497,NGC 2547,irwin2008,2.988,238644011,5514345211840457984,[IHA2008] N2547-2-7-6497
N2547-2-7-6680,NGC 2547,irwin2008,2.979,238644026,5514345211840458624,[IHA2008] N2547-2-7-6680
N2547-2-7-6909,NGC 2547,irwin2008,1.01,238644022,,[IHA2008] N2547-2-7-6909
N2547-2-7-8140,NGC 2547,irwin2008,0.333,238644145,5514348407296105344,[IHA2008] N2547-2-7-8140
N2547-2-8-2250,NGC 2547,irwin2008,1.364,238715667,5514297864119705984,[IHA2008] N2547-2-8-2250
N2547-2-8-3610,NGC 2547,irwin2008,0.456,238715768,5514298924970807424,[IHA2008] N2547-2-8-3610
