TIC,provenance_name,sequence_number,flux_cols,period,power,threshold
22596201,PATHOS,7,psf_flux_cor,1.8297,0.0315,0.0222
22596201,PATHOS,7,psf_flux_cor,0.9057,0.0395,0.0222
22596201,PATHOS,7,psf_flux_cor,2.1756,0.0451,0.0222
22596201,PATHOS,7,psf_flux_cor,5.9266,0.0566,0.0222
22596201,PATHOS,7,psf_flux_cor,13.2981,0.3715,0.0222
22597102,QLP,7,sap_flux,0.5271,0.0254,0.0221
22597102,QLP,7,sap_flux,0.6197,0.0262,0.0221
22597102,QLP,7,sap_flux,0.2848,0.0539,0.0221
22597102,QLP,7,sap_flux,0.5697,0.9113,0.0221
22597225,CDIPS,7,PCA1,0.4427,0.0292,0.0247
22597225,CDIPS,7,PCA1,0.8849,0.2357,0.0247
22597225,CDIPS,7,PCA2,0.4422,0.0331,0.0243
22597225,CDIPS,7,PCA2,0.8839,0.2108,0.0243
22597225,CDIPS,7,PCA3,0.8847,0.1364,0.0209
22597225,CDIPS,7,TFA1,0.4425,0.0261,0.0246
22597225,CDIPS,7,TFA1,0.8847,0.137,0.0246
22597225,CDIPS,7,TFA2,0.9281,0.029,0.0252
22597225,CDIPS,7,TFA2,0.8829,0.1203,0.0252
22597225,CDIPS,7,TFA3,0.8829,0.0826,0.0238
22597225,PATHOS,7,ap1_flux_cor,4.9257,0.0331,0.0254
22597225,PATHOS,7,ap1_flux_cor,9.3036,0.0549,0.0254
22597225,PATHOS,7,ap1_flux_cor,0.8844,0.0794,0.0254
22597225,PATHOS,7,ap1_flux_cor,25.4777,0.584,0.0254
22597225,PATHOS,7,ap2_flux_cor,0.8829,0.0783,0.0229
22597225,PATHOS,7,ap2_flux_cor,23.486,0.5061,0.0229
22597225,PATHOS,7,ap3_flux_cor,8.1879,0.0552,0.0235
22597225,PATHOS,7,ap3_flux_cor,28.9101,0.7953,0.0235
22597225,PATHOS,7,psf_flux_cor,0.8844,0.0657,0.0236
22597225,PATHOS,7,psf_flux_cor,22.1036,0.5894,0.0236
22597480,QLP,7,sap_flux,1.3282,0.0275,0.024
22597480,QLP,7,sap_flux,1.4866,0.032,0.024
22597480,QLP,7,sap_flux,0.9495,0.3308,0.024
22597480,QLP,7,sap_flux,1.8743,0.5759,0.024
22639239,CDIPS,7,PCA3,8.2554,0.0564,0.0228
22639239,PATHOS,7,ap1_flux_cor,14.1101,0.2164,0.0258
22639239,PATHOS,7,ap1_flux_cor,7.6656,0.2785,0.0258
22639239,PATHOS,7,ap2_flux_cor,4.0008,0.0294,0.0234
22639239,PATHOS,7,ap2_flux_cor,8.0562,0.1659,0.0234
22639239,PATHOS,7,ap2_flux_cor,13.5378,0.1778,0.0234
22639239,PATHOS,7,ap3_flux_cor,7.7848,0.1114,0.0238
22639239,PATHOS,7,psf_flux_cor,15.3344,0.0976,0.0273
22639239,PATHOS,7,psf_flux_cor,7.887,0.2901,0.0273
22639323,CDIPS,7,PCA1,0.4521,0.0288,0.023
22639323,CDIPS,7,PCA1,0.106,0.0389,0.023
22639323,CDIPS,7,PCA1,0.212,0.1433,0.023
22639323,CDIPS,7,PCA2,0.212,0.1081,0.0221
22639323,CDIPS,7,PCA3,0.2119,0.0722,0.0222
22639323,CDIPS,7,TFA1,0.2149,0.0248,0.0225
22639323,CDIPS,7,TFA1,0.4514,0.0256,0.0225
22639323,CDIPS,7,TFA1,0.1061,0.0343,0.0225
22639323,CDIPS,7,TFA1,0.212,0.1386,0.0225
22639323,CDIPS,7,TFA2,0.4517,0.0279,0.0236
22639323,CDIPS,7,TFA2,0.1061,0.0297,0.0236
22639323,CDIPS,7,TFA2,0.212,0.0957,0.0236
22639323,CDIPS,7,TFA3,0.2118,0.0602,0.0245
22639323,PATHOS,7,ap1_flux_cor,8.1435,0.0635,0.024
22639323,PATHOS,7,ap1_flux_cor,37.1274,0.8413,0.024
22639323,PATHOS,7,ap2_flux_cor,4.1216,0.0252,0.0236
22639323,PATHOS,7,ap2_flux_cor,8.2103,0.0733,0.0236
22639323,PATHOS,7,ap2_flux_cor,51.8711,0.8858,0.0236
22639323,PATHOS,7,ap3_flux_cor,4.1673,0.0343,0.0266
22639323,PATHOS,7,ap3_flux_cor,8.2554,0.0731,0.0266
22639323,PATHOS,7,ap3_flux_cor,50.1397,0.4529,0.0266
22639323,PATHOS,7,psf_flux_cor,2.1646,0.0251,0.0232
22639323,PATHOS,7,psf_flux_cor,1.8286,0.0258,0.0232
22639323,PATHOS,7,psf_flux_cor,6.0216,0.1028,0.0232
22639323,PATHOS,7,psf_flux_cor,21.4717,0.4836,0.0232
22639979,CDIPS,7,PCA1,1.6355,0.0275,0.0246
22639979,CDIPS,7,PCA1,0.6777,0.1954,0.0246
22639979,CDIPS,7,PCA1,1.3909,0.6022,0.0246
22639979,CDIPS,7,PCA2,0.6773,0.1899,0.0266
22639979,CDIPS,7,PCA2,1.3896,0.6216,0.0266
22639979,CDIPS,7,PCA3,0.6771,0.2016,0.0233
22639979,CDIPS,7,PCA3,1.3896,0.6124,0.0233
22639979,CDIPS,7,TFA1,1.7529,0.0253,0.0248
22639979,CDIPS,7,TFA1,0.6517,0.0422,0.0248
22639979,CDIPS,7,TFA1,0.6779,0.1975,0.0248
22639979,CDIPS,7,TFA1,1.3922,0.3558,0.0248
22639979,CDIPS,7,TFA2,1.6153,0.0258,0.0216
22639979,CDIPS,7,TFA2,0.4513,0.0261,0.0216
22639979,CDIPS,7,TFA2,2.0232,0.0304,0.0216
22639979,CDIPS,7,TFA2,0.6516,0.0308,0.0216
22639979,CDIPS,7,TFA2,0.9935,0.0311,0.0216
22639979,CDIPS,7,TFA2,0.677,0.1594,0.0216
22639979,CDIPS,7,TFA2,1.3922,0.3249,0.0216
22639979,CDIPS,7,TFA3,0.6526,0.0461,0.0215
22639979,CDIPS,7,TFA3,1.2839,0.073,0.0215
22639979,CDIPS,7,TFA3,0.6783,0.2066,0.0215
22639979,CDIPS,7,TFA3,1.389,0.3295,0.0215
22639979,PATHOS,7,ap1_flux_cor,2.4913,0.0252,0.0227
22639979,PATHOS,7,ap1_flux_cor,0.676,0.031,0.0227
22639979,PATHOS,7,ap1_flux_cor,3.0627,0.0366,0.0227
22639979,PATHOS,7,ap1_flux_cor,4.1558,0.0416,0.0227
22639979,PATHOS,7,ap1_flux_cor,2.2157,0.0419,0.0227
22639979,PATHOS,7,ap1_flux_cor,1.3955,0.1343,0.0227
22639979,PATHOS,7,ap1_flux_cor,6.1073,0.1526,0.0227
22639979,PATHOS,7,ap1_flux_cor,14.1101,0.4534,0.0227
22639979,PATHOS,7,ap2_flux_cor,0.6773,0.1446,0.0228
22639979,PATHOS,7,ap2_flux_cor,16.9812,0.1697,0.0228
22639979,PATHOS,7,ap2_flux_cor,1.3916,0.5166,0.0228
22639979,PATHOS,7,ap3_flux_cor,17.1754,0.0879,0.0226
22639979,PATHOS,7,ap3_flux_cor,0.6771,0.1779,0.0226
22639979,PATHOS,7,ap3_flux_cor,1.3916,0.5678,0.0226
22639979,PATHOS,7,psf_flux_cor,6.2731,0.0313,0.0236
22639979,PATHOS,7,psf_flux_cor,0.6771,0.1404,0.0236
22639979,PATHOS,7,psf_flux_cor,16.9812,0.2026,0.0236
22639979,PATHOS,7,psf_flux_cor,1.3916,0.5136,0.0236
22639979,QLP,7,sap_flux,17.9986,0.1533,0.0233
22639979,QLP,7,sap_flux,0.677,0.1626,0.0233
22639979,QLP,7,sap_flux,1.3922,0.5237,0.0233
22640107,CDIPS,7,PCA1,0.4528,0.4052,0.0237
22640107,CDIPS,7,PCA1,0.2925,0.4379,0.0237
22640107,CDIPS,7,PCA2,0.4528,0.3899,0.0285
22640107,CDIPS,7,PCA2,0.2925,0.4022,0.0285
22640107,CDIPS,7,PCA3,0.4528,0.325,0.0236
22640107,CDIPS,7,PCA3,0.2925,0.3256,0.0236
22640107,CDIPS,7,TFA1,0.4529,0.3425,0.0246
22640107,CDIPS,7,TFA1,0.2925,0.3466,0.0246
22640107,CDIPS,7,TFA2,0.2924,0.2896,0.021
22640107,CDIPS,7,TFA2,0.4527,0.3093,0.021
